"","Code","MumCode","Sex","BirthYear","Birthdate","DeathYear","DeathMonth","DeathDay","DeathType","CapAgeHrs","CapWt","BirthWt","FaecalRef","SampleDate","Sample YearSample Month","Sample month","SampleMass","PelletCount","Strongyles","Flukes","Elaphostrongylus","deeryear","sampleage","deathdeeryear","deathage","survived","MassPerPellet","survivedfirstwinter"
"70","KOH18","AYE10","Female","2018",2018-05-24,NA,NA,NA,NA,12,6.8,6.62000019073486,3554,2018-08-25,2018,"8",5.1,8,149,0,0,"2018",0,NA,NA,1,0.6375,1
"71","LIA18","ARA09","Male","2018",2018-06-01,2019,2,6,"N",12,6.3,6.12000019073486,3558,2018-08-25,2018,"8",4.3,10,24,0,0,"2018",0,2018,0,0,0.43,0
"72","LYR17","LUT08","Female","2017",2017-06-04,NA,NA,NA,NA,5,6.6,6.52499990463257,2815,2017-08-28,2017,"8",5.4,18,26,0,0,"2017",0,NA,NA,1,0.3,1
"73","MAJ19","PRC06","Female","2019",2019-06-08,NA,NA,NA,NA,48,7.7,6.97999980926514,517,2019-08-27,2019,"8",3.85,10,0,0,0,"2019",0,NA,NA,1,0.385,1
"74","MAM18","VIP11","Male","2018",2018-06-03,2019,2,8,"N",4,6.3,6.24000019073486,3620,2018-08-30,2018,"8",4,12,62,0,30.94,"2018",0,2018,0,0,0.333333333333333,0
"75","MDD19","MEG06","Male","2019",2019-05-31,NA,NA,NA,NA,48,8.6,7.88000038146973,387,2019-08-20,2019,"8",3.74,10,0,1.67,0,"2019",0,NA,NA,1,0.374,1
"76","MLA16","RAS12","Male","2016",2016-06-03,NA,NA,NA,NA,12,6.2,6.01999980926514,2062,2016-08-30,2016,"8",9.7,23,78,0,0,"2016",0,NA,NA,1,0.421739130434783,1
"77","MLA18","RAS12","Female","2018",2018-06-01,NA,NA,NA,NA,7,6.7,6.59499980926514,3420,2018-08-21,2018,"8",6.7,14,20,0,0,"2018",0,NA,NA,1,0.478571428571429,1
"78","MLA19","RAS12","Female","2019",2019-06-11,NA,NA,NA,NA,7,8.6,8.49500038146973,414,2019-08-21,2019,"8",2.97,10,2,0.33,1.14,"2019",0,NA,NA,1,0.297,1
"79","MOE17","CHM13","Male","2017",2017-05-24,2018,2,14,"N",8,6.1,5.97999990463257,2795,2017-08-27,2017,"8",2.5,7,104,0,0,"2017",0,2017,0,0,0.357142857142857,0
"80","MOJ19","GNB10","Female","2019",2019-05-27,NA,NA,NA,NA,5,NA,NA,484,2019-08-24,2019,"8",2.83,10,1,0,0,"2019",0,NA,NA,1,0.283,1
"81","NAU18","CCH14","Female","2018",2018-06-05,NA,NA,NA,NA,4,5.3,5.24000019073486,3590,2018-08-27,2018,"8",3.7,10,16,0,0,"2018",0,NA,NA,1,0.37,1
"82","NAV16","SEQ05","Male","2016",2016-05-22,NA,NA,NA,NA,24,7.2,6.83999980926514,1805,2016-08-22,2016,"8",10,18,10,2.5,7.33,"2016",0,NA,NA,1,0.555555555555556,1
"83","NAV18","SEQ05","Female","2018",2018-05-25,NA,NA,NA,NA,48,6.1,5.37999990463257,3578,2018-08-27,2018,"8",7.4,15,14,0,30.54,"2018",0,NA,NA,1,0.493333333333333,1
"84","NAV19","SEQ05","Female","2019",2019-05-28,NA,NA,NA,NA,3,7.3,7.25500019073486,527,2019-08-28,2019,"8",6.19,10,3,0,0.43,"2019",0,NA,NA,1,0.619,1
"85","NIA19","ARE14","Male","2019",2019-06-14,NA,NA,NA,NA,5,6.1,6.02499990463257,378,2019-08-20,2019,"8",3.66,10,1,0,0,"2019",0,NA,NA,1,0.366,1
"86","ONY16","RBY05","Female","2016",2016-06-01,NA,NA,NA,NA,3,7.3,7.25500019073486,1812,2016-08-22,2016,"8",5,13,19.5,0,0,"2016",0,NA,NA,1,0.384615384615385,1
"87","ONY17","RBY05","Female","2017",2017-06-21,2018,3,10,"N",18,8.9,8.62999961853027,2821,2017-08-28,2017,"8",3.3,10,32,0,0,"2017",0,2017,0,0,0.33,0
"88","ORY16","JAE02","Female","2016",2016-06-22,2017,2,12,"N",7,5.5,5.395,1839,2016-08-23,2016,"8",3,12,81.5,2,6.05,"2016",0,2016,0,0,0.25,0
"89","OUI17","AYE13","Male","2017",2017-05-31,2018,4,10,"N",24,7.2,6.83999980926514,2785,2017-08-27,2017,"8",4.9,8,47,0,0,"2017",0,2017,0,0,0.6125,0
"90","PCN16","WAL02","Female","2016",2016-05-27,2017,3,8,"N",12,6.2,6.01999980926514,2067,2016-08-30,2016,"8",5.7,9,46,0,0,"2016",0,2016,0,0,0.633333333333333,0
"91","PPL16","FRT07","Male","2016",2016-05-23,NA,NA,NA,NA,72,7.1,6.01999990463257,2013,2016-08-28,2016,"8",21.8,21,14.5,7.5,33.63,"2016",0,NA,NA,1,1.03809523809524,1
"92","PRD19","JAD13","Male","2019",2019-06-06,NA,NA,NA,NA,12,8.8,8.62000019073486,400,2019-08-20,2019,"8",3.09,10,0,0,0.5,"2019",0,NA,NA,1,0.309,1
"93","PRL17","SAP12","Female","2017",2017-05-28,NA,NA,NA,NA,3,7,6.955,2899,2017-08-30,2017,"8",26,7,18,0,0,"2017",0,NA,NA,1,3.71428571428571,1
"94","PRL18","SAP12","Male","2018",2018-05-24,NA,NA,NA,NA,24,6.1,5.73999990463257,3418,2018-08-21,2018,"8",7.5,13,29,0,4.43,"2018",0,NA,NA,1,0.576923076923077,1
"95","PSS18","CND06","Female","2018",2018-06-03,NA,NA,NA,NA,6,5.4,5.31000009536743,3484,2018-08-23,2018,"8",4.4,18,37,10,22.38,"2018",0,NA,NA,1,0.244444444444444,1
"96","PUE17","NAV12","Male","2017",2017-06-13,NA,NA,NA,NA,6,7.3,7.21000019073486,2838,2017-08-29,2017,"8",7.8,12,23,0,0,"2017",0,NA,NA,1,0.65,1
"97","QTZ16","TIC07","Female","2016",2016-05-20,NA,NA,NA,NA,3,6.2,6.15499980926514,2024,2016-08-29,2016,"8",5.8,12,52.5,0,0,"2016",0,NA,NA,1,0.483333333333333,1
"98","RAS16","MTT08","Female","2016",2016-06-04,NA,NA,NA,NA,4,5.8,5.74000019073486,1956,2016-08-26,2016,"8",8.1,26,23.5,0,0,"2016",0,NA,NA,1,0.311538461538462,1
"99","RAS17","MTT08","Male","2017",2017-06-02,2018,4,12,"N",12,5.6,5.41999990463257,2817,2017-08-28,2017,"8",3.4,11,91,0,0,"2017",0,2017,0,0,0.309090909090909,0
"100","RAS18","MTT08","Female","2018",2018-06-22,NA,NA,NA,NA,4,5,4.94,3592,2018-08-28,2018,"8",10.5,35,10,0,0,"2018",0,NA,NA,1,0.3,1
"101","RDD19","CLK04","Male","2019",2019-06-05,NA,NA,NA,NA,12,5.9,5.72000009536743,507,2019-08-26,2019,"8",3.61,10,0,0,0,"2019",0,NA,NA,1,0.361,1
"102","REG19","RAS14","Male","2019",2019-06-17,NA,NA,NA,NA,5,6.7,6.62499980926514,459,2019-08-23,2019,"8",3.5,10,1,0,0,"2019",0,NA,NA,1,0.35,1
"103","RHB18","RHE14","Female","2018",2018-06-30,NA,NA,NA,NA,48,6,5.28,3622,2018-08-30,2018,"8",3.3,16,0,0,6.72,"2018",0,NA,NA,1,0.20625,1
"104","RHE16","OXY05","Female","2016",2016-06-03,2017,2,26,"N",3,6.6,6.55499990463257,1889,2016-08-24,2016,"8",6.4,17,0,0,0,"2016",0,2016,0,0,0.376470588235294,0
"105","ROB17","WRE07","Male","2017",2017-05-26,NA,NA,NA,NA,18,7,6.73,2750,2017-08-26,2017,"8",1.9,5,4,0,0,"2017",0,NA,NA,1,0.38,1
"106","SAE17","RUB12","Male","2017",2017-05-14,2018,3,22,"N",8,4.8,4.68000019073486,2718,2017-08-25,2017,"8",25.8,36,194,0,0,"2017",0,2017,0,0,0.716666666666667,0
"107","SAE19","RUB12","Female","2019",2019-05-22,NA,NA,NA,NA,48,6,5.28,488,2019-08-25,2019,"8",4.17,10,3,0,0,"2019",0,NA,NA,1,0.417,1
"108","SAP16","RBY02","Female","2016",2016-06-08,2017,3,16,"N",4,6.1,6.03999990463257,1974,2016-08-27,2016,"8",3.5,8,13.5,0,0,"2016",0,2016,0,0,0.4375,0
"109","SDY17","RUM09","Male","2017",2017-06-08,NA,NA,NA,NA,20,7.6,7.29999990463257,2801,2017-08-28,2017,"8",2.9,8,17,0,0,"2017",0,NA,NA,1,0.3625,1
"110","SHO16","CND12","Female","2016",2016-06-18,NA,NA,NA,NA,4,7.4,7.34000009536743,1945,2016-08-26,2016,"8",4,7,171.5,0,0,"2016",0,NA,NA,1,0.571428571428571,1
"111","SHO19","CND12","Male","2019",2019-05-30,NA,NA,NA,NA,5,8.3,8.22500019073486,395,2019-08-20,2019,"8",4.24,10,24,0,0.32,"2019",0,NA,NA,1,0.424,1
"112","SOA19","BRY10","Male","2019",2019-05-28,NA,NA,NA,NA,48,7.3,6.58000019073486,502,2019-08-25,2019,"8",3.67,10,1,0,0,"2019",0,NA,NA,1,0.367,1
"113","SOP16","WLK11","Female","2016",2016-05-24,2017,1,28,"N",18,4.5,4.23,1831,2016-08-23,2016,"8",2.2,5,51,0,0,"2016",0,2016,0,0,0.44,0
"114","SOP17","WLK11","Female","2017",2017-05-31,2018,1,14,"N",4,4.7,4.63999980926514,2714,2017-08-25,2017,"8",2.4,10,105,0,0,"2017",0,2017,0,0,0.24,0
"115","SOP18","WLK11","Male","2018",2018-06-07,2019,3,15,"N",6,5.2,5.10999980926514,3593,2018-08-28,2018,"8",4.4,13,55,20,60.13,"2018",0,2018,0,0,0.338461538461538,0
"116","SOX16","SEQ01","Male","2016",2016-06-16,2018,1,30,"N",96,8.7,7.25999980926514,1914,2016-08-25,2016,"8",4.9,11,157,0,0,"2016",0,2017,1,0,0.445454545454545,1
"117","SPT18","CBS13","Male","2018",2018-07-09,NA,NA,NA,NA,5,6.9,6.82500009536743,3531,2018-08-24,2018,"8",2.6,9,1,0,11.34,"2018",0,NA,NA,1,0.288888888888889,1
"118","SPU18","SPY12","Female","2018",2018-05-25,NA,NA,NA,NA,24,6.2,5.83999980926514,3596,2018-08-29,2018,"8",6.5,16,20,0,0,"2018",0,NA,NA,1,0.40625,1
"119","SPY16","RPP08","Male","2016",2016-05-23,2018,3,29,"N",6,7.9,7.81000009536743,1806,2016-08-22,2016,"8",5.1,12,26,0,0,"2016",0,2017,1,0,0.425,1
"120","SPY17","RPP08","Male","2017",2017-05-30,NA,NA,NA,NA,3,8.5,8.455,2723,2017-08-25,2017,"8",4.6,11,71,0,0,"2017",0,NA,NA,1,0.418181818181818,1
"121","SPY18","RPP08","Female","2018",2018-06-14,NA,NA,NA,NA,5,7.3,7.22500019073486,3618,2018-08-29,2018,"8",7.7,24,28,0,0,"2018",0,NA,NA,1,0.320833333333333,1
"122","SPY19","RPP08","Female","2019",2019-05-31,NA,NA,NA,NA,24,8.7,8.33999980926514,451,2019-08-23,2019,"8",4.2,10,1,0,0.53,"2019",0,NA,NA,1,0.42,1
"123","SVG17","CDN12","Female","2017",2017-06-03,NA,NA,NA,NA,4,6.5,6.44,2760,2017-08-26,2017,"8",2.3,6,36,0,0,"2017",0,NA,NA,1,0.383333333333333,1
"124","SWT16","FRT06","Male","2016",2016-05-26,NA,NA,NA,NA,18,7.9,7.63000009536743,2064,2016-08-30,2016,"8",8.1,19,11.5,0,0,"2016",0,NA,NA,1,0.426315789473684,1
"125","SWT17","FRT06","Female","2017",2017-05-31,NA,NA,NA,NA,12,8.1,7.92000038146973,2804,2017-08-28,2017,"8",3.1,6,58,0,0,"2017",0,NA,NA,1,0.516666666666667,1
"126","TLS17","SCR06","Male","2017",2017-05-28,NA,NA,NA,NA,72,10.3,9.22000019073486,2709,2017-08-25,2017,"8",2.5,8,0,0,0,"2017",0,NA,NA,1,0.3125,1
"127","TNQ16","GNB07","Male","2016",2016-06-12,2017,4,12,"N",5,5.9,5.82500009536743,1869,2016-08-24,2016,"8",5.4,13,90.5,0,0,"2016",0,2016,0,0,0.415384615384615,0
"128","TWL18","WIS06","Male","2018",2018-05-27,NA,NA,NA,NA,NA,NA,NA,3577,2018-08-27,2018,"8",4.7,16,1,0,0,"2018",0,NA,NA,1,0.29375,1
"129","URC16","ANM06","Male","2016",2016-06-20,2017,2,21,"N",15,7.9,7.67500009536743,2039,2016-08-29,2016,"8",3.6,10,16,0,0,"2016",0,2016,0,0,0.36,0
"130","URC18","ANM06","Male","2018",2018-06-01,2019,3,8,"N",4,4.6,4.53999990463257,3537,2018-08-24,2018,"8",3.5,5,27,1.33,58.89,"2018",0,2018,0,0,0.7,0
"131","USS19","MEE05","Female","2019",2019-06-02,NA,NA,NA,NA,6,7.2,7.10999980926514,477,2019-08-24,2019,"8",3.72,10,30,0,38.18,"2019",0,NA,NA,1,0.372,1
"132","VEC17","SPY14","Female","2017",2017-06-09,NA,NA,NA,NA,24,5.7,5.33999980926514,2656,2017-08-23,2017,"8",7.74,19,5,0,0,"2017",0,NA,NA,1,0.407368421052632,1
"133","VIR19","MCD15","Male","2019",2019-06-12,NA,NA,NA,NA,48,5.2,4.47999980926514,495,2019-08-25,2019,"8",2.4,10,1,0,0,"2019",0,NA,NA,1,0.24,1
"134","VNS16","BUT02","Male","2016",2016-05-24,NA,NA,NA,NA,NA,NA,NA,1867,2016-08-24,2016,"8",5.4,10,37,0,0,"2016",0,NA,NA,1,0.54,1
"135","WIC16","SOX09","Male","2016",2016-06-02,2016,9,28,"N",8,8.1,7.98000038146973,1978,2016-08-27,2016,"8",10,15,51,0,0,"2016",0,2016,0,0,0.666666666666667,0
"136","WIC17","SOX09","Male","2017",2017-06-04,2018,3,27,"N",4,6.9,6.84000009536743,2657,2017-08-23,2017,"8",4.05,6,103,0,0,"2017",0,2017,0,0,0.675,0
"137","WIC19","SOX09","Male","2019",2019-06-16,NA,NA,NA,NA,48,8.6,7.88000038146973,465,2019-08-24,2019,"8",4.12,10,0,0,0,"2019",0,NA,NA,1,0.412,1
"138","WST19","LIA14","Female","2019",2019-05-30,NA,NA,NA,NA,72,5.9,4.82000009536743,423,2019-08-21,2019,"8",3.15,10,0,0,0,"2019",0,NA,NA,1,0.315,1
"139","WTZ19","TWL10","Female","2019",2019-05-29,NA,NA,NA,NA,NA,NA,NA,446,2019-08-22,2019,"8",6.98,10,2,0,0,"2019",0,NA,NA,1,0.698,1
"140","YUM19","NAV15","Female","2019",2019-05-24,NA,NA,NA,NA,48,6.9,6.18000009536743,366,2019-08-19,2019,"8",3.33,10,12,0,0,"2019",0,NA,NA,1,0.333,1
"141","ZEP16","WHF07","Male","2016",2016-05-26,NA,NA,NA,NA,12,8.5,8.32,1940,2016-08-26,2016,"8",7.3,16,24.5,0,0,"2016",0,NA,NA,1,0.45625,1
